CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
17;Avenida - Associadas - BEEASY;92.085.646/0001-37;5137561271 / 5137561128;Anta Gorda;Rua Dr. Campos, 433;Centro;95980-000;4300703;RS;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 3,HOSTRIBUTARIO: 4,HOS DIGITALIZE: 3
20;Farmacia Ideal - Associadas - BEEASY;89.946.883/0001-30;5137721372 / 51;Arvorezinha;Av. Daltro Filho, 541;Centro;95995-000;4301404;RS;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 7,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 7,HOSCLOUD BACKUP: 10,HOSDASHBOARD: 7,HOSGESTÃO PLUS: 7
31;Uniao - BEEASY;02.654.124/0001-16;54991612902 / 54;Bento Goncalves;Av. Osvaldo Aranha;Centro;95700-324;4302105;RS;Sim;CLIENTE;10.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3
43;Central - Associadas - BEEASY;88.587.290/0001-62;5434611850 / 54;Carlos Barbosa;Rua Elisa Tramontina, 11 Sala 110;Centro;95185-000;4304804;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 1,HOS FISCAL: 5,FARMÁCIA POPULAR: 3,HOSTRIBUTARIO: 2,HOS DIGITALIZE: 5,HOSCLOUD BACKUP: 5
48;Farmavic - PAULO;04.475.170/0001-83;6298627655 / 62;Cidreira;Av. Mostardeiro, 3186 LJ03;Centro;95595-000;4305454;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6
50;Central;93.618.783/0001-52;5434461388 / 54;Cotiporã;Av. Independencia, 478;Centro;95335-000;4305959;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 3
56;Noeli - BEEASY;93.330.207/0001-05;5432922636 / 5432921178;Flores da Cunha;Av. 25 de Julho, 1447;Centro;95270-000;4308201;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 1
60;Aguiar MTZ - Associadas (SE);09.943.995/0001-07;5134847768 / 5134847788;Gravataí;Av. Jose Loureiro da Silva, 1330;Centro;94010-000;4309209;RS;Sim;CLIENTE;1.0;MERCHFARMA: 42,HOS P344: 41,HOS COMPRAS: 41,HOS FINANÇAS: 43,HOS FISCAL: 2,HOS REPLICADOR: 1,HOS DELIVERY: 60,ESTAÇÃO ADICIONAL: 38,FARMÁCIA POPULAR: 1,HOSTRIBUTARIO: 5,HOS DIGITALIZE: 42,HOSCLOUD BACKUP: 42,APP E-COMMERCE: 2,HOSCHAT: 4,HOSGESTAO: 42,INTEGRAÇÃO MAGGU: 42
67;Neides - Associadas - BEEASY;90.392.259/0001-18;5434431523 / 5434431134;Guaporé;Av. Alberto Pasquali, 755;Centro;99200-000;4309407;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS FISCAL: 1,FARMÁCIA POPULAR: 4,HOSTRIBUTARIO: 4
77;Aracaense - BEEASY;88.992.078/0001-80;5432751412 / 54;Nova Araçá;Rua Luiz Zuchetti, 472, Sala 01;Centro;95350-000;4312807;RS;Sim;CLIENTE;1.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 1
81;Sao Judas - BEEASY;03.929.784/0001-25;5135931513 / 51996921036;Novo Hamburgo;Rua Joaquim Pedro Soares, 1521;Guarani;93520-600;4313409;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 1,ESTAÇÃO ADICIONAL: 1
101;Reche - Associadas;02.670.665/0001-38;5135901877 / 51;São Leopoldo;Rua Jose Bonifacio, 1050 Sala 05;centro;93010-180;4318705;RS;Sim;CLIENTE;30.0;MERCHFARMA: 1,HOS P344: 1,HOSTRIBUTARIO: 1
102;Farmacia do Hospital - BEEASY;90.397.167/0001-20;5434442010 / 54;Serafina Correa;Rua Mons. J. B. Scalabrini, 260;Centro;99250-000;4320404;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,HOSTRIBUTARIO: 1
111;Bem Ativa Venancio (SE);02.269.569/0001-82;5137411953 / 51998660244;Venâncio Aires;Rua Tiradentes, 710;Centro;95800-000;4322608;RS;Sim;CLIENTE;30.0;MERCHFARMA: 11,HOS P344: 1,HOS FÓRMULA: 11,FARMÁCIA POPULAR: 10,LAYOUT NFS-E: 11
113;Drogaria Veneto - Associadas - BEEASY;93.258.507/0001-20;5434412228 / 54;Veranópolis;Av. Julio de Castilhos, 766;centro;95330-000;4322806;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FISCAL: 6,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 6,HOSTRIBUTARIO: 6
114;Bido - BEEASY;94.988.946/0001-51;5433591020 / 54996196460;Vila Maria;Rua Benjamin Constant, 524;Centro;99155-000;4323408;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 2,HOSCLOUD BACKUP: 2
153;Progresso - Rede Vida - BEEASY;87.278.420/0001-12;5136321062 / 5136325680;Montenegro;Rua Ramiro Barcelos, 1850;Centro;92510-270;4312401;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,HOS FÓRMULA: 2,HOSCLOUD BACKUP: 2
201;Schmitt - Associadas;90.448.689/0001-04;5137181433 / 51;Vera Cruz;Rua Intendente Koelzer, 234;Centro;96880-000;4322707;RS;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,ESTAÇÃO ADICIONAL: 2,FARMÁCIA POPULAR: 7,HOSTRIBUTARIO: 7,HOS DIGITALIZE: 7,HOSCLOUD BACKUP: 5
327;Gloria Associadas - Manipulacao - BEEASY;87.621.181/0004-02;5433318415 / 5433318323;Carazinho;Av. Patria, 2655;Gloria;99500-000;4304705;RS;Sim;CLIENTE;30.0;MERCHFARMA: 9,HOS P344: 9,HOS FÓRMULA: 9,ESTAÇÃO ADICIONAL: 6,APP E-COMMERCE: 9,INTEGRAÇÃO BLING: 9
362;Farmagus;93.404.945/0001-50;5432281015 / 5430281045;Caxias do Sul;Rua Conde Deu, 1228;Bela Vista;95076-090;4305108;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOSTRIBUTARIO: 3,INTEGRAÇÃO IFOOD: 3,WEBCONVENIO: 3
411;Baseggio - BEEASY;90.723.057/0001-01;5434431305 / 5434431810;Guaporé;Av. Silvio Sanson, 1072;Centro;99200-000;4309407;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 1,HOS FÓRMULA: 3,ESTAÇÃO ADICIONAL: 2,HOS DIGITALIZE: 5,LAYOUT NFS-E: 3
833;Essencia Matriz - Associadas - BEEASY;03.784.801/0001-83;5433852342 / 5433853578;Tapera;Av. 15 de Novembro, 1011;Centro;99490-000;4321006;RS;Sim;CLIENTE;3.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3,HOS REPLICADOR: 3,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 3,HOSCLOUD BACKUP: 12
1268;Bom Pastor - BEEASY;03.325.731/0001-03;5434517209 / 5434512301;Bento Goncalves;Rua Assis Brasil;Centro;95703-050;4302105;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3,ESTAÇÃO ADICIONAL: 2,HOSTRIBUTARIO: 3
1318;Agafarma - BEEASY;04.461.128/0001-03;5433424002 / 5433424489;Marau;Av. Julio Borella, 823;Centro;99150-000;4311809;RS;Sim;CLIENTE;60.0;MERCHFARMA: 8,HOS P344: 8,HOS FISCAL: 8,ESTAÇÃO ADICIONAL: 3,FARMÁCIA POPULAR: 8,HOSTRIBUTARIO: 8,HOS DIGITALIZE: 8,HOSCLOUD BACKUP: 7,HOSGESTÃO PLUS: 1
1534;Auxiliadora;74.866.955/0001-62;5137314378 / 5180339310;Rio Pardo;Rua Andrade Neves, 749;Centro;96640-000;4315701;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 5,FARMÁCIA POPULAR: 3
1557;Celia - Associadas - BEEASY;94.234.085/0001-16;5137412484 / 5137412386;Venâncio Aires;Rua Jacob Becker, 1377;Centro;95800-000;4322608;RS;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 5,HOS FÓRMULA: 3,HOS FISCAL: 3,ESTAÇÃO ADICIONAL: 2,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 7,HOSCLOUD BACKUP: 6
1560;Farmacia Mais Vida - BEEASY;17.166.024/0001-18;5433243337 / 54984103337;Ibirubá;Rua Diniz Dias, 712;Centro;98200-000;4310009;RS;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3,HOSTRIBUTARIO: 3,HOSCLOUD BACKUP: 3
1561;Origem MTZ;02.358.144/0001-40;5499909-9944 / 54991440309;Soledade;Av. Mal. Floriano Peixoto, 945;Centro;99300-000;4320800;RS;Sim;CLIENTE;30.0;MERCHFARMA: 9,HOS P344: 6,HOS FÓRMULA: 6,ESTAÇÃO ADICIONAL: 3,HOSTRIBUTARIO: 6
1571;Santa Rita - Associadas - PAULO;04.549.430/0001-18;5136846204 / 51992397477;Tramandaí;Av. Fernandes Bastos, 1535;Centro;95590-000;4321600;RS;Sim;CLIENTE;10.0;MERCHFARMA: 11,HOS P344: 11,HOS REPLICADOR: 11,ESTAÇÃO ADICIONAL: 3,HOSTRIBUTARIO: 11,HOSCLOUD BACKUP: 16
1583;Flor Essencia;00.972.450/0001-46;5430552199 / 54;Bento Goncalves;Rua 13 de Maio, 116 Sala 07;Centro;95700-058;4302105;RS;Sim;CLIENTE;30.0;MERCHFARMA: 16,HOS P344: 16,HOS FÓRMULA: 16,FARMÁCIA POPULAR: 16,HOSTRIBUTARIO: 16,HOSGESTÃO PLUS: 16,INTEGRAÇÃO BLING: 16
1591;Vidapharma;04.850.451/0001-79;5433341129 / 54;Colorado;Av. Boa Esperanaa, s/n;Centro;99460-000;4305603;RS;Sim;CLIENTE;30.0;MERCHFARMA: 1,HOSTRIBUTARIO: 1
1607;Chico - BEEASY;04.830.507/0001-23;5136571066 / 51;Triunfo;BR 386 Km 411, CP 08;Vendinha;95840-000;4322004;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 3
1613;Farma Vida - Rede Vida - EVERTON;01.617.079/0001-67;5137412574 / 51;Venâncio Aires;Rua Osvaldo Aranha, 1137;Centro;95800-000;4322608;RS;Sim;CLIENTE;30.0;FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 1,MERCHFARMA: 5,HOS P344: 5,HOSCLOUD BACKUP: 5
1617;Medical - Associadas - BEEASY;94.492.824/0003-31;5433321600 / 5433321903;Não Me Toque;Frei Olimpio Reichert, 643 sala 1;Centro;99470-000;4312658;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS FÓRMULA: 3,HOS FISCAL: 3,FARMÁCIA POPULAR: 1,HOSCLOUD BACKUP: 6
1728;Amazonense;04.559.567/0001-53;5133840110 / 5133845419;Porto Alegre;Av. Bento Goncalves, 4876;Partenon;91540-000;4314902;RS;Sim;CLIENTE;90.0;MERCHFARMA: 13,HOS P344: 13,HOS FÓRMULA: 13,HOS FINANÇAS: 13,HOS REPLICADOR: 13,ESTAÇÃO ADICIONAL: 6,FARMÁCIA POPULAR: 13,HOSTRIBUTARIO: 13,HOSCLOUD BACKUP: 13,LAYOUT NFS-E: 13,FARMACIASAPP: 13
1729;P.H. Health;02.171.565/0001-67;5133663555 / 5130237655;Porto Alegre;Av. Baltazar O. Garcia, 3600 Lj 02;Santa Fe;91180-000;4314902;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FÓRMULA: 6,HOS DIGITALIZE: 6,HOSCLOUD BACKUP: 6,FARMACIASAPP: 6,NFS-E CONJUGADA: 6
1856;Farmacia Central ;02.652.846/0001-31;5137311208 / 51;Rio Pardo;Rua Andrade Neves, 371;Centro;96640-000;4315701;RS;Sim;CLIENTE;15.0;MERCHFARMA: 7,HOS P344: 7,HOS FÓRMULA: 7,HOSCLOUD BACKUP: 3
1933;Vita Pharma - BEEASY;05.063.157/0001-80;5432426297 / 54992055823;Nova Prata;Av. Presidente Vargas, 579;Centro;95320-000;4313300;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS FÓRMULA: 3,ESTAÇÃO ADICIONAL: 1,HOSCLOUD BACKUP: 3
2262;Bioformula - Matriz - BEEASY;05.099.344/0001-13;5434616184 / 54;Carlos Barbosa;Rua Rio Branco, 654;Planalto;95185-000;4304804;RS;Sim;CLIENTE;60.0;MERCHFARMA: 3,HOS P344: 3,HOS FÓRMULA: 3,HOS REPLICADOR: 3,ESTAÇÃO ADICIONAL: 1
2280;Materia Pura Matriz (SE);94.306.883/0001-06;5132220164 / 51;Porto Alegre;Av. Cristovao Colombo, 2009;Floresta;90560-025;4314902;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FÓRMULA: 6,HOS REPLICADOR: 6,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 6,HOSCLOUD BACKUP: 3,NFS-E CONJUGADA: 6
2315;Medical Manipulacao - BEEASY;05.262.599/0001-55;5432933538 / 54;Antônio Prado;Av. dos imigrantes 275, sala 02;Centro;95250-000;4300802;RS;Sim;CLIENTE;10.0;MERCHFARMA: 4,HOS P344: 4,HOS FÓRMULA: 4,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 4,NFS-E CONJUGADA: 4
2405;Confianca - Manipulacao - BEEASY;05.418.365/0001-54;5432424576 / 5432424763;Nova Prata;Av. Henrique Lenzi, 165;Centro;95320-000;4313300;RS;Sim;CLIENTE;1.0;MERCHFARMA: 5,HOS P344: 5,HOS FÓRMULA: 5,HOS REPLICADOR: 5
2493;Farmacia Cassol - BEEASY;93.980.555/0001-28;5433851092 / 54;Tapera;Av. XV de Novembro, 1508 Sala 1;Centro;99490-000;4321006;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2
2504;Phormula Camboim - PAULO;05.029.544/0001-08;5134883296 / 5130434828;Gravataí;Av Jose Loureiro de Silva, 1609 / 01;Centro;94010-001;4309209;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 1,HOS FÓRMULA: 3,FARMÁCIA POPULAR: 3,HOSCLOUD BACKUP: 2
2592;Sao Jose Matriz - BEEASY;00.453.515/0001-47;5434536516 / 54;Bento Goncalves;Rua Caxias do Sul, 521;Jardim Gloria;95701-202;4302105;RS;Sim;CLIENTE;30.0;MERCHFARMA: 11,HOS P344: 11,HOS FÓRMULA: 11,HOS FINANÇAS: 11,HOS FISCAL: 11,HOS REPLICADOR: 11,ESTAÇÃO ADICIONAL: 2,FARMÁCIA POPULAR: 11,HOSTRIBUTARIO: 11,HOS DIGITALIZE: 11,HOSCHAT: 4,INTEGRAÇÃO MAGGU: 11
2595;Ativo Certo Manip - BEEASY;33.649.683/0001-61;5421215093 / 54;Nova Prata;Av. Presidente Vargas, 1114;Centro;95320-000;4313300;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS FÓRMULA: 4,HOSCLOUD BACKUP: 2
2597;Unisc Farmacia Escola;95.438.412/0011-96;5137177540 / 51;Santa Cruz do Sul;Av. Independencia, 2293 - PROAD sl. 2514;Universitario;96815-900;4316808;RS;Sim;CLIENTE;30.0;MERCHFARMA: 16,HOS P344: 16,HOS FÓRMULA: 16,HOS FISCAL: 16,ESTAÇÃO ADICIONAL: 9,HOSTRIBUTARIO: 16
2605;Rincao - PAULO;93.137.941/0001-52;5135612977 / 5135613005;Estancia Velha;Rua Jose de Quadros, 171;Rincao dos Ilheus;93600-010;4307609;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,FARMÁCIA POPULAR: 1,HOSTRIBUTARIO: 3,HOSCLOUD BACKUP: 3
2633;Pharmavale;00.883.902/0001-13;5135903590 / 5135896200;São Leopoldo;Rua 1 de Março, 777 Loja 101;Centro;93010-210;4318705;RS;Sim;CLIENTE;5.0;MERCHFARMA: 3,HOS P344: 3,HOS FÓRMULA: 3,ESTAÇÃO ADICIONAL: 1
2699;Auxiliadora Pinhalzinho (Farma e Farma);82.137.548/0001-42;4933661282 / 49;Pinhalzinho;Rua Joao Pessoa, 2231 Sala 01;Centro;89870-000;4212908;SC;Sim;CLIENTE;15.0;MERCHFARMA: 5,HOS P344: 5,HOS FÓRMULA: 5,HOS FINANÇAS: 5,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5
3294;Substancia Certa;05.554.901/0001-49;5135591392 / 51993801518;Sapiranga;Rua Tiradentes, 83 Sala B;Centro;93800-010;4319901;RS;Sim;CLIENTE;30.0;MERCHFARMA: 8,HOS P344: 8,HOS FÓRMULA: 8,ESTAÇÃO ADICIONAL: 3,FARMÁCIA POPULAR: 8,INTEGRAÇÃO BLING: 8
3541;Kruger Farmacia ;05.784.886/0001-25;5535373581 / 55;Horizontina;Rua Santa Rosa, 167;Centro;98920-000;4309605;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS FÓRMULA: 4,ESTAÇÃO ADICIONAL: 1
3552;Sao Jacob - BEEASY;04.886.451/0001-29;5433871136 / 54;Selbach;Rua 15 de Novembro, 113;Centro;99450-000;4320305;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 5,HOSCLOUD BACKUP: 4
3572;Farmapop - Associadas - BEEASY;74.907.692/0001-92;5136324883 / 5136323009;Montenegro;Rua Ramiro Barcelos, 1530;Centro;92510-110;4312401;RS;Sim;CLIENTE;90.0;MERCHFARMA: 10,HOS P344: 10,HOS FÓRMULA: 10,HOS FISCAL: 5,HOSTRIBUTARIO: 15,LAYOUT NFS-E: 10,FARMACIASAPP: 15
3644;Farmacias Associadas Sao Ciro;00.342.241/0001-19;5432293644 / 54996501152;Caxias do Sul;BR 116 Km 146, 1536;De Lazzer;95059-520;4305108;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS FÓRMULA: 3
3664;Arigoni - Associadas;01.176.504/0001-20;5532312582 / 55;Rosario do Sul;Rua Joao Brasil, 1282;Centro;97590-000;4316402;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 1,HOS FISCAL: 4,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 4,HOSTRIBUTARIO: 4,HOSCLOUD BACKUP: 7
3891;Raizes - BEEASY;90.464.330/0001-20;5130562199 / 51;Santa Cruz do Sul;Rua Thomaz Flores, 292;Centro;96810-038;4316808;RS;Sim;CLIENTE;10.0;MERCHFARMA: 4,HOS P344: 4,HOS FÓRMULA: 4,ESTAÇÃO ADICIONAL: 1
4053;Vida Nova ;00.865.094/0001-61;5135431847 / 5135436160;Parobé;Rua Joao Mosmann 470;Centro;95630-000;4314050;RS;Sim;CLIENTE;30.0;MERCHFARMA: 10,HOS P344: 10,HOS FÓRMULA: 10,HOSTRIBUTARIO: 10,HOSCLOUD BACKUP: 3
4056;Dona Flora - BEEASY;06.059.079/0001-02;5432925322 / 54;Flores da Cunha;Av. 25 de Julho, 1630 Sala 01;Centro;95270-000;4308201;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS FÓRMULA: 3,FARMÁCIA POPULAR: 3,LAYOUT NFS-E: 3
4058;Popular;04.288.548/0001-30;5135471258 / 51998599084;Rolante;Av. Borges de Medeiros, 2011;Centro;95690-000;4316006;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 4
4066;Amendoa Doce - BEEASY;06.297.697/0001-90;5430253886 / 54991556413;Caxias do Sul;Rua Borges de Medeiros, 654;centro;95020-310;4305108;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS FÓRMULA: 5,ESTAÇÃO ADICIONAL: 4,HOSCLOUD BACKUP: 2,NFS-E CONJUGADA: 1
4098;Ponte Seca - Associadas - BEEASY;06.889.799/0001-03;5434612442 / 5434611850;Carlos Barbosa;Rua Buarque de Macedo, 58 sala 03;Ponte Seca;95185-000;4304804;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 1,HOSCLOUD BACKUP: 2
4130;Drofar - BEEASY;88.227.442/0001-16;5432686674 / 5430354674;Farroupilha;Rua Julio de Castilhos, 734 sala 101;Centro;95170-010;4307906;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,ESTAÇÃO ADICIONAL: 2,HOSCLOUD BACKUP: 2
4167;Super Farma Matriz;94.541.513/0001-53;5532220202 / 5532252689;Santa Maria;Av. Presidente Vargas, 588;Patronato;97020-000;4316907;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FISCAL: 1,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 6
4203;Acqua Farmacia;22.140.264/0001-83;5332251448 / 53;Pelotas;Rua Mal. Deodoro 800/101;Centro;96020-220;4314407;RS;Sim;CLIENTE;1.0;HOS P344: 3,HOSCLOUD BACKUP: 2,LAYOUT NFS-E: 3,MERCHFARMA: 3,HOS FÓRMULA: 3
4214;Farmacia Moura (SE);72.437.650/0001-00;5321282128 / 5321282132;Pelotas;Rua XV de Novembro, 610;Centro;96015-000;4314407;RS;Sim;CLIENTE;30.0;MERCHFARMA: 40,HOS P344: 5,HOS FÓRMULA: 40,HOS FINANÇAS: 40,HOS DELIVERY: 40,FARMÁCIA POPULAR: 5
4223;HOS ;00.115.150/0001-40;5426214400 / 5430529900;Bento Goncalves;Rua Pernambuco, 212 Sala 01;Humaita;95705-024;4302105;RS;Sim;CLIENTE;15.0;MERCHFARMA: 10,HOS P344: 3,HOS FÓRMULA: 3,HOS COMPRAS: 20,HOS FINANÇAS: 3,HOS FISCAL: 20,BULAS ONLINE: 0,HOSTRIBUTARIO: 3,HOS DIGITALIZE: 3,APP E-COMMERCE: 0,HOS ENTREGAS: 10,CADASTRO INTELIGENTE: 1,HOSGESTÃO PLUS: 0,PORTAL DE COTAÇÕES: 10,HOS CREDIARIOS: 5,INTEGRAÇÃO SMARTPED: 1,HOS DOCUMENTOS: 10,PRECIFICAÇÃO INTELIGENTE - PROFFER: 1
4251;Dermaris - BEEASY;04.140.333/0001-77;5532261123 / 55;Santa Maria;Rua Erly de Almeida Lima, 188;Camobi;97105-040;4316907;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS FÓRMULA: 5,HOSCLOUD BACKUP: 3
4258;Reni Mtz - Associadas (SE);00.206.404/0001-36;5533011333 / 55;Santa Maria;Rua Vale Machado, 1454 Cj 102;Centro;97010-530;4316907;RS;Sim;CLIENTE;30.0;MERCHFARMA: 15,HOS P344: 1,HOS COMPRAS: 6,HOS FINANÇAS: 25,HOS FISCAL: 2,HOS REPLICADOR: 1,ESTAÇÃO ADICIONAL: 1
4259;Reni Acampamento - Associadas (SE);00.206.404/0002-17;5530287501 / 55;Santa Maria;Rua do Acampamento, 66;Centro;97050-000;4316907;RS;Sim;CLIENTE;90.0;MERCHFARMA: 15,HOS P344: 1,HOS FÓRMULA: 4,HOS FISCAL: 3,HOS REPLICADOR: 1,LAYOUT NFS-E: 15
4261;Reni Camobi - Associadas (SE);00.206.404/0004-89;5530287503 / 5532191022;Santa Maria;Av. Evandro Behr, 6830 loja 01;Camobi;97110-800;4316907;RS;Sim;CLIENTE;90.0;MERCHFARMA: 6,HOS P344: 6,HOS FISCAL: 6,HOS REPLICADOR: 6,ESTAÇÃO ADICIONAL: 6
4270;Fischer - Filial 1 - EVERTON;92.601.426/0002-08;5532651631 / 5532653004;Agudo;Rua Mal. Deodoro, 349;centro;96540-000;4300109;RS;Sim;CLIENTE;30.0;MERCHFARMA: 9,HOS P344: 9,HOS FISCAL: 9,HOS REPLICADOR: 9,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 9,HOSTRIBUTARIO: 9,HOSCLOUD BACKUP: 8
4271;Fischer - Matriz - EVERTON;92.601.426/0001-19;5532651008 / 55981300033;Agudo;Rua Germano Hentsche, 148 sala 01;Centro;96540-000;4300109;RS;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 3,HOS REPLICADOR: 7,FARMÁCIA POPULAR: 7,HOSTRIBUTARIO: 7,HOSCLOUD BACKUP: 5
4364;Manipulato Matriz - BEEASY;72.317.985/0001-94;5534225815 / 55;Alegrete;Rua dos Andradas, 376;Centro;97541-000;4300406;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FÓRMULA: 4,HOS REPLICADOR: 6,ESTAÇÃO ADICIONAL: 3,FARMÁCIA POPULAR: 6
4399;Ana Pharma ;07.191.689/0001-28;5130516110 / 5134636110;Canoas;Rua Cristovao Colombo, 100;Niteroi;92110-450;4304606;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 1,HOS FÓRMULA: 2,HOSCLOUD BACKUP: 2
4525;Independencia - BEEASY;91.200.071/0001-93;5137172522 / 5137154294;Santa Cruz do Sul;Av. Independencia, 1008;Centro;96815-326;4316808;RS;Sim;CLIENTE;20.0;MERCHFARMA: 2,HOS P344: 2
4536;Naturativa - BEEASY;08.947.003/0001-49;5433443626 / 5433443000;Tapejara;Rua Tranquilo Basso, 380 sala 2;Centro;99950-000;4320909;RS;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 2
4548;Universal;31.669.054/0001-78;2127121853 / 2127120458;São Gonçalo;Av. Cte Ary Parreiras, 2379;Paraiso;24430-380;3304904;RJ;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,HOS FÓRMULA: 5,HOSCLOUD BACKUP: 2
4577;Vide Bulla - Matriz - BEEASY;03.327.080/0001-82;5136561038 / 51;Arroio dos Ratos;Av. Espanha, 660;Centro;96740-000;4301107;RS;Sim;CLIENTE;30.0;MERCHFARMA: 8,HOS P344: 8,HOS FÓRMULA: 8,HOS FISCAL: 8,HOS REPLICADOR: 8,FARMÁCIA POPULAR: 8,HOSTRIBUTARIO: 8,HOSCLOUD BACKUP: 10,LAYOUT NFS-E: 8,HOSCHAT: 4,HOSDASHBOARD: 8
4595;MB Farmacias - Centro Distribuicao ;93.641.710/0001-81;5533331284 / 55;Ijuí;Av. Coronel Dico 712;Sol Nascente;98700-000;4310207;RS;Sim;CLIENTE;30.0;MERCHFARMA: 8,HOS P344: 10,HOS COMPRAS: 8,HOS FISCAL: 8,HOS REPLICADOR: 8,HOSTRIBUTARIO: 8,INTEGRAÇÃO IFOOD: 0,HOS ENTREGAS: 8,HOSGESTÃO PLUS: 8,CD DEPÓSITO: 5,PORTAL DE COTAÇÕES: 8,INTEGRAÇÃO SMARTPED: 8,HOS DOCUMENTOS: 8
