CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
39124;Drogaria Central - Rede Soma ;08.043.502/0001-01;3138721313 / 31983722941;Abre Campo;Av Raul Soares 87;Centro;35365-000;3100302;MG;Sim;CLIENTE;30.0;MERCHFARMA: 10,HOS P344: 10,HOS FISCAL: 10,ESTAÇÃO ADICIONAL: 1,HOS DIGITALIZE: 10,HOSCLOUD BACKUP: 10,HOSGESTAO: 10
39125;Drogaria Mix Popular - ROMULO;55.314.375/0001-18;91981447420 / 91;Belém;Av Alcindo Cacela 3163;Cremação;66065-205;1501402;PA;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOSTRIBUTARIO: 5
39127;Farmacia Sempre Util - EVERTON;52.685.329/0002-18;51999147951 / 51;Porto Alegre;Rua Belize 350;Restinga;91790-080;4314902;RS;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,HOS REPLICADOR: 5,HOSTRIBUTARIO: 5,HOSGESTÃO PLUS: 5
39128;Drogaria Neres ;52.673.275/0001-90;89994097427 / 89;Floriano;Rua David Caldas 862;Sambaíba Nova;64804-290;2203909;PI;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,HOSCHAT: 2
39129;Drogaria MinasFarma Filial 8 ;35.310.666/0003-92;2298848890 / 22;Campos dos Goytacazes;Rua Manoel Cordeiro 0029;Parque Novo Jockey;28020-839;3301009;RJ;Sim;CLIENTE;1.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,HOS REPLICADOR: 5,INTEGRAÇÃO MAGGU: 5
39130;Drogaria Farma Parque - BASE4;24.351.990/0001-70;62992624190 / 62;Anápolis;Rua PB 20;Parque Brasilia 2 A Etapa;75093-805;5201108;GO;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3,HOSTRIBUTARIO: 3,HOSCHAT: 3
39131;Farmacia do Povo - Rede Soma ;20.011.389/0001-88;38991224058 / 38;Mato Verde;Av Presidente Castelo Branco 104;Centro;39527-000;3141009;MG;Sim;CLIENTE;5.0;MERCHFARMA: 4,HOS P344: 4,HOS REPLICADOR: 4,HOSTRIBUTARIO: 4
39132;Farmacia do Povo - Rede Melhor Compra ;38.056.083/0001-03;3821093300 / 38;Mato Verde;Rua Antonio de Luzia 03;Alto Sao Joao;39527-000;3141009;MG;Sim;CLIENTE;1.0;MERCHFARMA: 2,HOS P344: 2,HOS REPLICADOR: 2,HOSTRIBUTARIO: 2
39133;Vitalfarma - INOVAR;56.323.086/0001-48;71981368948 / 71;Salvador;Av Professor Magalhaes Neto 001541;Pituba;41810-011;2927408;BA;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 2
39135;GeG Comercio - ANDRE;36.371.716/0001-42;8934831780 / 89;São João do Piauí;Av Candido Coelho 318;Centro;64760-000;2210003;PI;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,HOSTRIBUTARIO: 3
